Date,NAV_Per_Share,Market_Price,Premium_Discount_Pct
2024-05-02,52.82,52.86,0.0757288905717515
2024-05-01,50.72,50.64,-0.1577287066246023
2024-04-30,52.67,52.51,-0.3037782418834321
2024-04-29,56.05,56.06,0.0178412132025069
2024-04-26,56.84,56.74,-0.17593244194229665
2024-04-25,57.59,57.6,0.01736412571626673
2024-04-24,56.95,56.9,-0.08779631255488017
2024-04-23,59.19,59.21,0.03378949146815868
2024-04-22,59.31,59.26,-0.08430281571405203
2024-04-19,57.28,57.31,0.05237430167597964
2024-04-18,56.6,56.58,-0.03533568904594192
2024-04-17,54.33,54.31,-0.03681207436038288
2024-04-16,55.9,55.88,-0.03577817531305191
2024-04-15,56.45,56.38,-0.12400354295837074
2024-04-12,59.57,59.55,-0.03357394661743013
2024-04-11,62.77,62.79,0.03186235462800067
2024-04-10,62.39,62.47,0.12822567719185493
2024-04-09,61.47,61.45,-0.032536196518620504
2024-04-08,63.86,63.96,0.15659254619480337
2024-04-05,60.09,59.99,-0.16641704110501152
2024-04-04,61.0,61.04,0.06557377049180188
2024-04-03,58.71,58.64,-0.11923011412025258
2024-04-02,58.9,58.7,-0.3395585738539826
2024-04-01,62.14,62.18,0.06437077566784542
2024-03-28,63.16,63.17,0.015832805573155664
2024-03-27,61.19,61.19,0.0
2024-03-26,61.9,61.93,0.04846526655896791
2024-03-25,63.31,63.34,0.047385879008057394
2024-03-22,57.03,56.98,-0.08767315448010567
2024-03-21,58.25,58.11,-0.24034334763948598
2024-03-20,58.58,58.75,0.2902014339365
2024-03-19,57.45,57.41,-0.06962576153177763
2024-03-18,59.71,59.58,-0.2177189750460602
2024-03-15,61.42,61.6,0.2930641484858348
2024-03-14,61.81,61.8,-0.01617861187510939
2024-03-13,65.53,65.58,0.07630093087135228
2024-03-12,63.69,63.67,-0.0314021039409578
2024-03-11,64.25,64.32,0.10894941634240184
2024-03-08,61.82,61.9,0.12940795858945048
2024-03-07,60.45,60.45,0.0
2024-03-06,59.9,59.8,-0.16694490818030286
2024-03-05,55.24,55.23,-0.018102824040559587
2024-03-04,60.42,60.38,-0.06620324395895257
2024-03-01,56.27,56.28,0.017771459036783385
2024-02-29,55.4,55.35,-0.09025270758122231
2024-02-28,53.83,53.83,0.0
2024-02-27,50.87,50.85,-0.0393159032828701
2024-02-26,48.63,48.63,0.0
2024-02-23,45.62,45.59,-0.06576063130204741
2024-02-22,46.39,46.44,0.10778184953653192
2024-02-21,45.51,45.48,-0.06591957811470256
2024-02-20,46.44,46.41,-0.06459948320413682
2024-02-16,46.29,46.28,-0.021602937999563643
2024-02-15,46.19,46.18,-0.021649707728941356
2024-02-14,46.18,46.19,0.021654395842351692
2024-02-13,44.14,44.11,-0.06796556411418472
2024-02-12,44.82,44.86,0.08924587237840059
2024-02-09,42.47,42.48,0.023546032493520157
2024-02-08,40.65,40.68,0.07380073800738286
2024-02-07,39.41,39.43,0.05074854097945478
2024-02-06,38.48,38.47,-0.025987525987520816
2024-02-05,37.86,37.84,-0.05282620179608036
2024-02-02,38.36,38.34,-0.052137643378508916
2024-02-01,38.4,38.41,0.026041666666661488
2024-01-31,37.99,37.99,0.0
2024-01-30,38.92,38.87,-0.12846865364852073
2024-01-29,38.57,38.51,-0.1555613170858239
2024-01-26,37.51,37.51,0.0
2024-01-25,35.54,35.44,-0.28137310073157407
2024-01-24,35.36,35.28,-0.2262443438913979
2024-01-23,35.0,34.88,-0.34285714285713553
2024-01-22,35.86,35.82,-0.11154489682096806
2024-01-19,37.11,37.01,-0.26946914578281167
2024-01-18,36.46,36.29,-0.46626439934174907
2024-01-17,38.13,37.94,-0.49829530553371315
2024-01-16,38.6,38.32,-0.7253886010362723
2024-01-12,39.04,38.58,-1.1782786885245924
2024-01-11,41.33,40.69,-1.5485119767723219
